"","airport_id","name","city","country","iata","iaco","latitude","longitude","altitude","zone","dst","timezone"
"3267",141,"Tamworth","Tamworth","Australia","TMW","YSTW",-31.083889,150.846667,1334,10,"O","UTC+10"
"5439",142,"Taree Airport","","Australia","TRO","YTRE",-31.8886,152.514,38,10,"U","UTC+10"
"6837",143,"Telfer Airport","Telfer","Australia","TEF","YTEF",-21.713057,122.21222,970,8,"N","UTC+8"
"5204",144,"Tennant Creek Airport","Tennant Creek","Australia","TCA","YTNK",-19.6344,134.183,1236,9.5,"O","UTC+9:30"
"4177",145,"Thangool","Biloela","Australia","THG","YTNG",-24.493889,150.576111,644,10,"O","UTC+10"
"5203",146,"Thargomindah Airport","","Australia","XTG","YTGM",-27.9864,143.811,433,10,"O","UTC+10"
"5432",147,"Tindal Airport","Katherine","Australia","KTR","YPTN",-14.5211,132.378,443,9,"O","UTC+9"
"5704",148,"Toowoomba","Toowoomba","Australia","TWB","YTWB",-27.542778,151.916389,2086,10,"N","UTC+10"
"3236",149,"Townsville","Townsville","Australia","TSV","YBTL",-19.2525,146.765278,18,10,"N","UTC+10"
"5205",150,"Victoria River Downs Airport","","Australia","VCD","YVRD",-16.4033,131.002,89,9.5,"O","UTC+9:30"
"3268",151,"Wagga Wagga","Wagga Wagga","Australia","WGA","YSWG",-35.165278,147.466389,724,10,"O","UTC+10"
"6146",152,"Walgett Airport","Walgett","Australia","WGE","YWLG",-30.0318,148.1222,439,10,"U","UTC+10"
"3237",153,"Weipa","Weipa","Australia","WEI","YBWP",-12.678611,141.925278,63,10,"O","UTC+10"
"2101",154,"Whitsunday Airstrip","Airlie Beach","Australia","WSY","YWHI",-20.276,148.755,60,10,"O","UTC+10"
"5208",155,"Whyalla Airport","Whyalla","Australia","WYA","YWHA",-33.0589,137.514,41,9.5,"O","UTC+9:30"
"5209",156,"Wiluna Airport","","Australia","WUN","YWLU",-26.6292,120.221,1649,8,"O","UTC+8"
"5207",157,"Windorah Airport","","Australia","WNR","YWDH",-25.4131,142.667,452,10,"O","UTC+10"
"5211",158,"Winton Airport","","Australia","WIN","YWTN",-22.3636,143.086,638,10,"O","UTC+10"
"5210",159,"Wollongong Airport","","Australia","WOL","YWOL",-34.5611,150.789,31,10,"O","UTC+10"
"3257",160,"Woomera","Woomera","Australia","UMR","YPWR",-31.144167,136.816944,548,9.5,"O","UTC+9:30"
"6967",161,"Yuendumu ","Yuendumu ","Australia","YUE","YYND",-22.254167,131.781944,2205,9.5,"O","UTC+9:30"
